จังหวัด, PM2.5, PM2.5 เฉลี่ย24ชั่วโมงต่อเนื่อง, เวลา
น่าน,32.34749152392018,36.277294662824445,2026-01-17 06:00:00
ยะลา,28.999781975185357,21.134395457576932,2026-01-17 06:00:00
สตูล,24.437028306892504,17.2103046081167,2026-01-17 06:00:00
แพร่,30.402483925842027,36.53984204278115,2026-01-17 06:00:00
ชุมพร,23.553953316967394,18.171064117603365,2026-01-17 06:00:00
พะเยา,26.107631995407388,28.345312817409816,2026-01-17 06:00:00
พังงา,23.90532803434031,18.083042847597728,2026-01-17 06:00:00
ยโสธร,64.29934330824506,47.96582473234681,2026-01-17 06:00:00
ระนอง,23.564017321429162,17.744140885291667,2026-01-17 06:00:00
ระยอง,24.2153706678949,42.111575594113,2026-01-17 06:00:00
ลำปาง,26.384549786814844,30.141087022737747,2026-01-17 06:00:00
ลำพูน,23.75297156884245,29.455114881376502,2026-01-17 06:00:00
สงขลา,24.70055558648675,17.839915159622304,2026-01-17 06:00:00
กระบี่,28.450721895908746,20.0952414390847,2026-01-17 06:00:00
ชลบุรี,25.078381266135118,46.89769426555093,2026-01-17 06:00:00
ชัยนาท,58.947444466985985,63.61461030330732,2026-01-17 06:00:00
นครปฐม,28.359451021214454,49.2066878054925,2026-01-17 06:00:00
นครพนม,61.38939402960208,45.40619471553262,2026-01-17 06:00:00
บึงกาฬ,44.72333644381855,38.742991382642415,2026-01-17 06:00:00
พัทลุง,28.967057876941105,19.682962822279467,2026-01-17 06:00:00
พิจิตร,50.88429233337819,52.976000618591904,2026-01-17 06:00:00
ภูเก็ต,29.00592699544766,19.51695725874725,2026-01-17 06:00:00
ลพบุรี,49.20816189105097,59.28946490908489,2026-01-17 06:00:00
สกลนคร,56.27442111428777,45.55609025813707,2026-01-17 06:00:00
ขอนแก่น,68.33394418021538,56.02400001741691,2026-01-17 06:00:00
ชัยภูมิ,54.147647775886476,51.55488964902105,2026-01-17 06:00:00
นครนายก,36.054976465426435,43.984390304497204,2026-01-17 06:00:00
นนทบุรี,22.69976686541714,46.55258985542892,2026-01-17 06:00:00
ปัตตานี,29.01624899459126,19.27732032883049,2026-01-17 06:00:00
ราชบุรี,27.520193006218793,45.77925861206396,2026-01-17 06:00:00
สระบุรี,50.524478440195594,57.3566189727321,2026-01-17 06:00:00
สระแก้ว,38.91040472979751,48.17173645991974,2026-01-17 06:00:00
สุโขทัย,35.70266369371146,42.928735000726796,2026-01-17 06:00:00
หนองคาย,78.23058033091947,63.257936624534004,2026-01-17 06:00:00
อ่างทอง,44.090524513946704,61.3773510221374,2026-01-17 06:00:00
จันทบุรี,29.53574409579667,42.11069263067331,2026-01-17 06:00:00
นราธิวาส,25.243317663391558,18.683271908599256,2026-01-17 06:00:00
ปทุมธานี,24.973137809806303,50.20608743669374,2026-01-17 06:00:00
พิษณุโลก,51.823628582758616,52.74342825734181,2026-01-17 06:00:00
มุกดาหาร,70.52112933990429,46.224389107089365,2026-01-17 06:00:00
ร้อยเอ็ด,73.73257436272156,55.56144826969543,2026-01-17 06:00:00
ศรีสะเกษ,61.605497105148956,50.37104716192449,2026-01-17 06:00:00
สุรินทร์,60.184098399922696,55.34710624542757,2026-01-17 06:00:00
อุดรธานี,72.07123442073974,55.98613654136428,2026-01-17 06:00:00
เชียงราย,16.161810641384346,20.69074252210699,2026-01-17 06:00:00
เพชรบุรี,23.77957477250282,41.424122091969,2026-01-17 06:00:00
กาญจนบุรี,31.227922447239226,45.827279217245604,2026-01-17 06:00:00
กาฬสินธุ์,73.0099547705452,58.48928819839109,2026-01-17 06:00:00
กำแพงเพชร,41.14306481560396,45.469231843997015,2026-01-17 06:00:00
นครสวรรค์,46.3628795766055,53.343421052368676,2026-01-17 06:00:00
บุรีรัมย์,52.91973459278112,53.11500489106712,2026-01-17 06:00:00
มหาสารคาม,77.11035034972868,59.34977762499386,2026-01-17 06:00:00
สมุทรสาคร,23.413461847744177,44.31457566585638,2026-01-17 06:00:00
สิงห์บุรี,63.56895866421198,67.87791910755715,2026-01-17 06:00:00
อุตรดิตถ์,41.50308422553927,46.620569792676974,2026-01-17 06:00:00
อุทัยธานี,41.94043019296175,50.195198254308565,2026-01-17 06:00:00
เชียงใหม่,14.589954700665567,19.969834974395035,2026-01-17 06:00:00
เพชรบูรณ์,46.44268496896358,51.919610165515884,2026-01-17 06:00:00
ฉะเชิงเทรา,29.034998104498563,50.199841314556416,2026-01-17 06:00:00
นครราชสีมา,51.9680017262575,50.380079464993145,2026-01-17 06:00:00
ปราจีนบุรี,38.897703242668285,50.3781282991071,2026-01-17 06:00:00
สุพรรณบุรี,33.97168756772145,52.3107279369079,2026-01-17 06:00:00
อำนาจเจริญ,67.35143767709629,45.983432853765784,2026-01-17 06:00:00
สมุทรปราการ,19.16208769282926,45.97969165271388,2026-01-17 06:00:00
สมุทรสงคราม,25.733484192159434,45.46259733108289,2026-01-17 06:00:00
หนองบัวลำภู,60.781325897921285,50.18340530558794,2026-01-17 06:00:00
อุบลราชธานี,65.13795265503506,50.08553907985701,2026-01-17 06:00:00
สุราษฎร์ธานี,20.781125467668044,18.020133393304352,2026-01-17 06:00:00
กรุงเทพมหานคร,22.383456002446046,48.29626746909877,2026-01-17 06:00:00
นครศรีธรรมราช,23.801690891649802,18.164800075485577,2026-01-17 06:00:00
ประจวบคีรีขันธ์,22.208837450417644,39.706030654940285,2026-01-17 06:00:00
พระนครศรีอยุธยา,35.409746348793234,57.333341025963165,2026-01-17 06:00:00
พะเยา,26.937301558809548,28.418327758636476,2026-01-17 07:00:00
ลำปาง,25.854643784975632,30.026634228555185,2026-01-17 07:00:00
ลพบุรี,49.56296300763142,58.519610304685266,2026-01-17 07:00:00
เพชรบุรี,25.14401777405042,40.35218206127198,2026-01-17 07:00:00
นครนายก,37.55276255291397,43.726416795584186,2026-01-17 07:00:00
บุรีรัมย์,55.54805988924859,52.862095967731925,2026-01-17 07:00:00
ชลบุรี,24.396327028213975,45.37561247964589,2026-01-17 07:00:00
กาญจนบุรี,30.62753612537929,44.81678251825744,2026-01-17 07:00:00
เลย,50.9210134583213,47.89347007027586,2026-01-17 07:00:00
นนทบุรี,22.783493608664454,45.44449687366616,2026-01-17 07:00:00
กระบี่,33.20053099052022,20.372007205728764,2026-01-17 07:00:00
กรุงเทพมหานคร,23.179534839783123,47.086730480395765,2026-01-17 07:00:00
หนองคาย,79.05864447231897,63.12343129025073,2026-01-17 07:00:00
นครศรีธรรมราช,33.16286024064961,18.52546118985273,2026-01-17 07:00:00
กาฬสินธุ์,74.94160265205794,58.74213055353892,2026-01-17 07:00:00
แม่ฮ่องสอน,10.515686884166081,18.068178155358652,2026-01-17 07:00:00
พระนครศรีอยุธยา,37.083829442590904,55.926588449816244,2026-01-17 07:00:00
ชุมพร,20.092757323094798,18.00395983209682,2026-01-17 07:00:00
สุราษฎร์ธานี,30.35161184757987,18.07129370636754,2026-01-17 07:00:00
กำแพงเพชร,39.20746182113675,45.473166046619234,2026-01-17 07:00:00
เชียงใหม่,12.852956193027529,19.939102304456892,2026-01-17 07:00:00
สงขลา,27.591162267706117,18.09730138991463,2026-01-17 07:00:00
สกลนคร,54.56771741877368,45.72540829698017,2026-01-17 07:00:00
ลำพูน,19.825017388393924,29.20135523765379,2026-01-17 07:00:00
ตราด,36.90645963198941,42.6184702473426,2026-01-17 07:00:00
สตูล,33.13837230292503,17.872799226761362,2026-01-17 07:00:00
นครสวรรค์,45.64278483334029,52.61757134404047,2026-01-17 07:00:00
ยโสธร,62.68460150589748,48.23334511604582,2026-01-17 07:00:00
อุทัยธานี,41.609754469395476,49.3637700519805,2026-01-17 07:00:00
ปราจีนบุรี,39.24941241812386,49.621256653911956,2026-01-17 07:00:00
ตาก,31.9826498573561,37.740736152165766,2026-01-17 07:00:00
ยะลา,33.18582320281343,21.358316867487414,2026-01-17 07:00:00
สมุทรปราการ,19.992056187550403,44.71676678922629,2026-01-17 07:00:00
พังงา,29.163356249155772,18.17736611863236,2026-01-17 07:00:00
นราธิวาส,33.180363858695266,19.221154166404556,2026-01-17 07:00:00
จันทบุรี,31.415113800057107,41.36679792046008,2026-01-17 07:00:00
